artist,title,lyric
U2,One,"[Verse 1]
Is it getting better
Or do you feel the same?
Will it make it easier on you, now
You got someone to blame?

[Chorus]
You say one love, one life
When it's one need in the night
One love, we get to share it
Leaves you, baby, if you don't care for it

[Verse 2]
Did I disappoint you
Or leave a bad taste in your mouth?
You act like you never had love
And you want me to go without

[Chorus]
Well, it's too late tonight
To drag the past out into the light
We're one, but we're not the same
We get to carry each other, carry each other
One

[Verse 3]
Have you come here for forgiveness?
Have you come to raise the dead?
Have you come here to play Jesus
To the lepers in your head?

[Chorus]
Did I ask too much? More than a lot
You gave me nothing, now it's all I got
We're one, but we're not the same
Well, we hurt each other, then we do it again

[Bridge]
You say love is a temple, love a higher law
Love is a temple, love the higher law
You ask me to enter, but then you make me crawl
And I can't be holding on to what you got
When all you got is hurt

[Chorus]
One love, one blood
One life, you got to do what you should
One life with each other
Sisters, brothers
One life, but we're not the same
We get to carry each other, carry each other
One
One

[Outro]
Ooh-ooh-ooh
Oh-ooh
May we, may we, may we get
Higher
Oh, higher
(Ay, yeah, go) higher
(Oh) Higher"
U2,With or Without You,"[Verse 1]
See the stone set in your eyes
See the thorn twist in your side
I'll wait for you
Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I wait without you

[Chorus]
With or without you
With or without you

[Verse 2]
Through the storm, we reach the shore
You give it all but I want more
And I'm waiting for you

[Chorus]
With or without you
With or without you, ah-ah
I can't live with or without you

[Bridge]
And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

[Verse 3]
My hands are tied, my body bruised
She got me with nothing to win
And nothing left to lose

[Bridge]
And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

[Chorus]
With or without you
With or without you, ohh
I can't live with or without you

[Outro-Chorus]
With or without you
With or without you, ohh
I can't live with or without you
With or without you"
U2,I Still Haven’t Found What I’m Looking For,"[Verse 1]
I have climbed the highest mountains
I have run through the fields
Only to be with you
Only to be with you
I have run, I have crawled
I have scaled these city walls
These city walls
Only to be with you

[Chorus]
But I still haven't found
What I'm looking for
But I still haven't found
What I'm looking for

[Verse 2]
I have kissed honey lips
Felt the healing in her fingertips
It burned like fire
This burning desire
I have spoke with the tongue of angels
I have held the hand of a devil
It was warm in the night
I was cold as a stone

[Chorus]
But I still haven't found
What I'm looking for
But I still haven't found
What I'm looking for

[Instrumental Bridge]

[Verse 3]
I believe in the Kingdom Come
Then all the colours will bleed into one
Bleed into one
But yes, I'm still running
You broke the bonds and you loosed the chains
Carried the cross of my shame
Of my shame
You know I believe it

[Chorus]
But I still haven't found
What I'm looking for
But I still haven't found
What I'm looking for
But I still haven't found
What I'm looking for
But I still haven't found
What I'm looking for

[Instrumental Outro]"
U2,Sunday Bloody Sunday,"[Instrumental Intro]

[Verse 1]
I can't believe the news today
Oh, I can't close my eyes and make it go away

[Chorus]
How long, how long must we sing this song?
How long? How long?
'Cause tonight, we can be as one
Tonight

[Verse 2]
Broken bottles under children's feet
Bodies strewn across the dead end street
But I won't heed the battle call
It puts my back up
Puts my back up against the wall

[Refrain]
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Alright, let's go!

[Verse 3]
And the battle's just begun
There's many lost, but tell me, who has won?
The trench is dug within our hearts
And mothers, children, brothers, sisters
Torn apart

[Refrain]
Sunday, Bloody Sunday
Sunday, Bloody Sunday

[Chorus]
How long
How long must we sing this song?
How long, how long?
'Cause tonight, we can be as one
Tonight

[Refrain]
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Come get some!

[Bridge]
Wipe the tears from your eyes
Wipe your tears away
Oh, wipe your tears away
Oh, wipe your tears away
Oh, wipe your bloodshot eyes

[Refrain]
Sunday, Bloody Sunday
Sunday, Bloody Sunday

[Verse 4]
And it's true, we are immune
When fact is fiction and TV reality
And today, the millions cry
We eat and drink while tomorrow, they die
The real battle just begun
To claim the victory Jesus won
On—

[Refrain]
Sunday, Bloody Sunday
Sunday, Bloody Sunday"
U2,Pride (In the Name of Love),"[Verse 1]
One man come in the name of love
One man come and go
One man come he to justify
One man to overthrow

[Chorus]
In the name of love
What more in the name of love?
In the name of love
What more in the name of love?

[Verse 2]
One man caught on a barbed wire fence
One man he resist
One man washed up on an empty beach
One man betrayed with a kiss

[Chorus]
In the name of love
What more in the name of love?
In the name of love
What more in the name of love?

[Interlude]
Nothing like love
There's nothing like love
Nobody like you
There's nobody like you

[Harmonizing Break]

[Verse 3]
Early morning, April 4
Shot rings out in the Memphis sky
Free at last, they took your life
They could not take your pride

[Chorus]
In the name of love
What more in the name of love?
In the name of love
What more in the name of love?

[Chorus]
In the name of love
What more in the name of love?
In the name of love
What more in the name of love?

[Harmonizing Outro]"
U2,Beautiful Day,"[Verse 1]
The heart is a bloom, shoots up through the stoney ground
There's no room, no space to rent in this town
You're out of luck, and the reason that you had to care
The traffic is stuck, and you're not moving anywhere
You thought you'd found a friend to take you out of this place
Someone you could lend a hand in return for grace

[Chorus]
It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away

[Verse 2]
You're on the road, but you've got no destination
You're in the mud, in the maze of her imagination
You love this town even if that doesn't ring true
You've been all over, and it's been all over you

[Chorus]
It's a beautiful day
Don't let it get away
It's a beautiful day
Ooh-hoo-hoo

[Refrain]
Touch me
Take me to that other place
Teach me
I know I'm not a hopeless case

[Bridge]
See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires at night
See the oil fields at first light
And see the bird with a leaf in her mouth
After the flood all the colours came out

[Chorus]
It's a beautiful day
Don't let it get away
Beautiful day

[Refrain]
Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case

[Outro]
What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now
Was a beautiful day"
U2,Get Out of Your Own Way,"[Chorus: Bono]
Get out of your own way, hey, hey
Get out of your own way, hey, hey

[Verse 1: Bono]
Love hurts
Now you're the girl who's left with no words
Your heart's a balloon, but then it bursts
It doesn't take a cannon, just a pin
Your skin's not covering
And resistance
Love has got to fight for its existence
The enemy has armies of assistance
The amorous, the glamorous, the kiss
A fist, listen to this, oh

[Chorus: Bono]
Get out of your own way, oh, I
Get out of your own way, oh, I

[Post-Chorus: Bono]
I could sing it to you all night, all night
If I could, I'd make it alright, alright
Nothing's stopping you except what's inside
I can help you, but it's your fight, your fight

[Verse 2: Bono]
Fight back
Don't take it lyin' down, you got to bite back
The face of liberty's starting to crack
She had a plan up until she got a smack in the mouth
And it all went south
Like freedom
The slaves are lookin' for someone to lead them
The master's lookin' for someone to need him
The promised land is there for those who need it most
And Lincoln's ghost said...

[Chorus: Bono]
Get out of your own way, oh, I
Get out of your own way, oh, I

[Post-Chorus: Bono]
I could sing it to you all night, all night
If I could, I'd make it alright, alright
Nothing's stopping you except what's inside
I can help you, but it's your fight, your fight

[Chorus: Bono]
Get out of your own way
Get out of your own way

[Instrumental Bridge]

[Chorus: Bono]
Get out of your own way
Get out of your own way
Get out of your own way

[Outro: Kendrick Lamar]
Blessed are the arrogant
For there is the kingdom of their own company
Blessed are the superstars
For the magnificence in their light
We understand better our own insignificance
Blessed are the filthy rich
For you can only truly own what you give away
Like your pain"
U2,Song for Someone,"[Verse 1]
You got a face not spoiled by beauty
I have some scars from where I've been
You've got eyes that can see right through me
You're not afraid of anything they've seen

[Pre-Chorus 1]
I was told that I would feel
Nothing the first time
I don't know how these cuts heal
But in you I found a rhyme

[Chorus 1]
If there is a light you can't always see
And there is a world we can't always be
If there is a dark that we shouldn't doubt
And there is a light, don't let it go out

And this is a song, a song for someone
This is a song, a song for someone

[Verse 2]
You let me in to a conversation
A conversation only we could make
You're breaking into my imagination
Whatever's in there it's yours to take

[Pre-Chorus 2]
I was told I would feel
Nothing the first time
You were slow to heal
But this could be the night

[Chorus 2]
If there is a light you can't always see
And there is a world we can't always be
If there is a dark within and without
And there is a light, don't let it go out

And this is a song, a song for someone
This is a song, this is a song for someone

[Outro]
And I'm a long, long way from your hill of Calvary
And I'm a long way from where I was, where I need to be
If there is a light you can't always see
And there is a world we can't always be
If there is a kiss I stole from your mouth
And there is a light, don't let it go out"
U2,Every Breaking Wave,"[Verse 1]
Every breaking wave on the shore
Tells the next one there'll be one more
Every gambler knows that to lose
Is what you're really there for
Summer I was fearless
Now, I speak into an answer phone
Like every falling leaf on the breeze
Winter wouldn't leave it alone, alone

[Chorus]
If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?

[Verse 2]
Every sailor knows that the sea
Is a friend made enemy
Every shipwrecked soul knows what it is
To live without intimacy
I thought I heard the captain's voice
It's hard to listen while you preach
Like every broken wave on the shore
This is as far as I could reach

[Chorus]
If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?

[Bridge]
The sea knows where are the rocks
And drowning is no sin
You know where my heart is
The same place that yours has been
We know that we fear to win
And so we end before we begin
Before we begin

[Chorus]
If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?"
U2,Where the Streets Have No Name,"[Verse 1]
I wanna run, I want to hide
I wanna tear down the walls
That hold me inside
I wanna reach out
And touch the flame
Where the streets have no name

[Verse 2]
I wanna feel sunlight on my face
I see the dust-cloud
Disappear without a trace
I wanna take shelter
From the poison rain
Where the streets have no name

[Chorus]
Where the streets have no name
Where the streets have no name
We're still building and burning down love
Burning down love
And when I go there
I go there with you
It's all I can do

[Verse 3]
The city's a flood, and our love turns to rust
We're beaten and blown by the wind
Trampled in dust
I'll show you a place
High on a desert plain
Where the streets have no name

[Chorus]
Where the streets have no name
Where the streets have no name
We're still building and burning down love
Burning down love
And when I go there
I go there with you
It's all I can do

[Outro]
Our love turns to rust
We're beaten and blown by the wind
Blown by the wind
Oh and I see love
See our love turn to rust
We're beaten and blown by the wind
Blown by the wind
Oh when I go there
I go there with you
It's all I can do"
